ChEMBL_ID,Functional_Mechanism,SMILES,MW_Da,LogP,TPSA,HBD,HBA,DeltaG_kcal_mol,RSI_Score,DARS_Score,Dermal_500Da,Dermal_LogP
CHEMBL531708,Moderate / Basal Profile,Cl.Nc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,275.69,3.3,82.05,1,4,-6.7,0.544,3.64,PASS,PASS
CHEMBL1683055,Aim 1: Minor Groove Specialist,Nc1nc2ccc(-c3ccc4nc5ccccc5nc4c3)cc2[nH]1,311.35,3.91,80.48,2,4,-7.5,0.482,3.61,PASS,PASS
CHEMBL61350,Moderate / Basal Profile,NCCSSCCN,152.29,0.29,52.04,2,4,-5.5,0.657,3.61,PASS,CHECK
CHEMBL1883643,Moderate / Basal Profile,Cc1c2ccccc2nc2ccccc12,193.25,3.7,12.89,0,1,-6.7,0.517,3.46,PASS,PASS
CHEMBL153535,Moderate / Basal Profile,c1ccc(-c2nc3ccccc3[nH]2)cc1,194.24,3.23,28.68,1,1,-6.7,0.515,3.45,PASS,PASS
CHEMBL2283280,Moderate / Basal Profile,Cc1ccc(-c2nc3ccccc3[nH]2)cc1,208.26,3.54,28.68,1,1,-6.7,0.48,3.22,PASS,PASS
CHEMBL214612,Moderate / Basal Profile,NCCSSc1ccccc1,185.32,2.39,26.02,1,3,-5.9,0.54,3.19,PASS,PASS
CHEMBL1596095,Moderate / Basal Profile,Fc1ccc(-c2nc3ccccc3[nH]2)cc1,212.23,3.37,28.68,1,1,-6.7,0.471,3.16,PASS,PASS
CHEMBL2180144,Moderate / Basal Profile,Clc1c2ccccc2nc2ccccc12,213.67,4.04,12.89,0,1,-6.7,0.468,3.14,PASS,PASS
CHEMBL1534413,Moderate / Basal Profile,Clc1ccc2[nH]c(-c3ccccc3)nc2c1,228.68,3.88,28.68,1,1,-6.7,0.437,2.93,PASS,PASS
CHEMBL1256388,Moderate / Basal Profile,Cl.NCCSSCCN,188.75,0.71,52.04,2,4,-5.5,0.53,2.92,PASS,CHECK
CHEMBL1413222,Moderate / Basal Profile,Cc1nc2cc(-c3nc4ccccc4[nH]3)ccc2[nH]1,248.29,3.41,57.36,2,2,-7.1,0.403,2.86,PASS,PASS
CHEMBL4952776,Aim 1: Minor Groove Specialist,c1ccc2[nH]c(-c3ccc4[nH]c(C5CC5)nc4c3)nc2c1,274.33,3.98,57.36,2,2,-7.5,0.365,2.74,PASS,PASS
CHEMBL529603,Moderate / Basal Profile,c1ccc(-c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,270.34,4.9,28.68,1,1,-7.1,0.37,2.63,PASS,PASS
CHEMBL1594935,Moderate / Basal Profile,Cl.Cl.NCCSSCCN,225.21,1.13,52.04,2,4,-5.5,0.444,2.44,PASS,PASS
CHEMBL605817,Aim 1: Minor Groove Specialist,c1ccc(-c2nc3cc4nc(-c5ccccc5)[nH]c4cc3[nH]2)cc1,310.36,4.77,57.36,2,2,-7.5,0.322,2.42,PASS,PASS
CHEMBL3793039,Aim 1: Minor Groove Specialist,c1cc(-c2nc3ccccc3[nH]2)cc(-c2nc3ccccc3[nH]2)c1,310.36,4.77,57.36,2,2,-7.5,0.322,2.42,PASS,PASS
CHEMBL4173428,Aim 1: Minor Groove Specialist,c1ccc2[nH]c(-c3ccc(-c4nc5ccccc5[nH]4)cc3)nc2c1,310.36,4.77,57.36,2,2,-7.5,0.322,2.42,PASS,PASS
CHEMBL5282816,Moderate / Basal Profile,c1ccc2[nH]c(-c3ccc4n[se]nc4c3)nc2c1,299.19,2.23,54.46,1,3,-7.1,0.334,2.37,PASS,PASS
CHEMBL1672845,Aim 1: Minor Groove Specialist,Cc1nc2ccc(-c3nc4cc(-c5ccccc5)ccc4[nH]3)cc2[nH]1,324.39,5.08,57.36,2,2,-7.5,0.308,2.31,PASS,CHECK
CHEMBL176543,Moderate / Basal Profile,CCN(CC)CCNc1c2ccccc2nc2ccccc12,293.41,4.14,28.16,1,3,-6.7,0.341,2.28,PASS,PASS
CHEMBL333953,Aim 1: Minor Groove Specialist,c1ccc2[nH]c(-c3ccc4[nH]c(-c5ccc6[nH]cnc6c5)nc4c3)nc2c1,350.39,4.65,86.04,3,3,-7.9,0.285,2.25,PASS,PASS
CHEMBL367729,Aim 1: Minor Groove Specialist,N#Cc1ccc2[nH]c(-c3ccc4[nH]c(-c5ccccc5)nc4c3)nc2c1,335.37,4.64,81.15,2,3,-7.5,0.298,2.23,PASS,PASS
CHEMBL1951956,Aim 1: Minor Groove Specialist,c1ccc(-c2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)cc1,346.43,6.56,28.68,1,1,-7.5,0.289,2.17,PASS,CHECK
CHEMBL174576,Aim 1: Minor Groove Specialist,NC(=O)c1ccc2[nH]c(-c3ccc4[nH]c(-c5ccccc5)nc4c3)nc2c1,353.39,3.87,100.45,3,3,-7.5,0.283,2.12,PASS,PASS
CHEMBL1962789,Aim 1: Minor Groove Specialist,Cc1ccc(-c2nc3ccc(-c4ccc5nc(=O)[nH]nc5c4)cc3[nH]2)nc1,354.37,3.23,100.21,2,5,-7.5,0.282,2.11,PASS,PASS
CHEMBL1951976,Aim 1: Minor Groove Specialist,Cc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)nc2c1,360.46,6.87,28.68,1,1,-7.5,0.277,2.08,PASS,CHECK
CHEMBL1672849,Aim 1: Minor Groove Specialist,c1ccc(-c2ccc3[nH]c(-c4ccc5nc(-c6ccccc6)[nH]c5c4)nc3c2)cc1,386.46,6.44,57.36,2,2,-7.9,0.259,2.05,PASS,CHECK
CHEMBL2009031,Moderate / Basal Profile,NCCSSC/C=C\CSSCCN,270.51,2.22,52.04,2,6,-5.5,0.37,2.04,PASS,PASS
CHEMBL163452,Aim 1: Minor Groove Specialist,c1ccc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7nccnc7c6)nc5c4)nc3c2)cc1,438.49,6.38,83.14,2,4,-8.3,0.228,1.89,PASS,CHECK
CHEMBL98244,Aim 1: Minor Groove Specialist,Cc1nc2cc(-c3nc4cc(-c5nc6cc(-c7ccccc7)ccc6[nH]5)ccc4[nH]3)ccc2[nH]1,440.51,6.62,86.04,3,3,-8.3,0.227,1.88,PASS,CHECK
CHEMBL2009493,Moderate / Basal Profile,NCCSSCc1ccccc1CSSCCN,320.57,3.37,52.04,2,6,-5.9,0.312,1.84,PASS,PASS
CHEMBL1927181,Aim 1: Minor Groove Specialist,Cc1ccc(C(=O)Nc2nc3ccc(-c4ccc5nc6ccccc6nc5c4)cc3[nH]2)cc1,429.48,5.89,83.56,2,4,-7.9,0.233,1.84,PASS,CHECK
CHEMBL1979625,Moderate / Basal Profile,Cl.NCCSSC/C=C\CSSCCN,306.98,2.64,52.04,2,6,-5.5,0.326,1.79,PASS,PASS
CHEMBL98062,Aim 1: Minor Groove Specialist,c1ccc(-c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc7[nH]c(-c8ccccc8)nc7c6)nc5c4)nc3c2)cc1,502.58,7.98,86.04,3,3,-8.7,0.199,1.73,FAIL,CHECK
CHEMBL2006835,Moderate / Basal Profile,Cl.NCCSSCc1ccccc1CSSCCN,357.04,3.79,52.04,2,6,-5.9,0.28,1.65,PASS,PASS
CHEMBL321366,Aim 1: Minor Groove Specialist,COc1ccc(-c2nc3cc(-c4nc5cc(-c6nc7cc(-c8ccccc8)ccc7[nH]6)ccc5[nH]4)ccc3[nH]2)cc1,532.61,7.99,95.27,3,4,-8.7,0.188,1.64,FAIL,CHECK
